gene	Level1	Level2	Level3	Level4
CTRB1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
KLK1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
RBPJL	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PTF1A	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CELA3A	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PRSS1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
SPINK1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
ZG16	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CEL	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CELA2A	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CPB1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CELA1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
RNASE1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
AMY2B	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CPA2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CPA1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CELA3B	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PNLIP	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CTRB2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PLA2G1B	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PRSS2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CLPS	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
REG1A	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
SYCN	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PNLIPRP1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CTRC	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
REG3A	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
SERPINA3	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PRSS3	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
REG1B	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CFB	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
GDF15	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
MUC1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
C15ORF48	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
DUOXA2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
AKR1C3	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
OLFM4	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
GSTA1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
LGALS2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
PDZK1IP1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
RARRES2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CXCL17	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
UBD	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
GSTA2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
ANPEP	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
LYZ	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
ANGPTL4	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
ALDOB	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Acinar cells
CEBPA	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
EGFR	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
FGF10	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
GSC	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
MMP3	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
PPARG	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
TWIST2	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
GATA3	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
GLI1	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
SMO	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
STAB1	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
WISP2	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
WT1	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
SCARA5	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
HOXC8	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
TCF7L1	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
HOXC9	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
HOXC6	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
HOXC4	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
ZNF521	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
SULT1E1	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
EBF2	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
NRG4	Precursor cell	Adipocyte progenitor cells	Adipocyte progenitor cells	Adipocyte progenitor cells
SLC36A2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
P2RX5	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
LEP	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
UCP1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CIDEA	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PRDM16	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
LHX8	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
EPSTI1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
MC2R	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
FFAR2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PIKFYVE	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CYP11B2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TLR2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TLR4	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ADRB1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ADRB2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ADRB3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
FABP4	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TNFRSF9	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TBX1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TMEM26	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TCF21	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ADIPOQ	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CFD	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ACVR1C	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
SLC2A4	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
LPIN1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PLIN1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PCK1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PPARG	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
RETN	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
MEST	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ADM2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
STAT6	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TFE3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CPPED1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
APPL2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
APOL6	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PXMP2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CAVIN1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
AGT	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
SLC1A5	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ACSL1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
BCAT2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PNPLA2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CIDEC	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CDO1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
APOC1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
MMP2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
POSTN	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
LOX	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ZBTB16	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
GULP1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
FZD4	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TRIP10	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
FGF7	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
MAOB	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
SOCS1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ARNT	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
SULT1A1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
NNMT	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
AOC3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
H6PD	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CYP27A1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
EBF2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
MNDA	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
HSD11B1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
AR	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
GDF10	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CYP1B1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
COL5A3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
STEAP4	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CCL11	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
NR1H3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
DEPTOR	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CYTH3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
FMO1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ACADSB	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
XDH	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
RSPO3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PTGES	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CREB3L1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ANGPTL2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ADAM12	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
LBP	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
NMB	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
RARRES2	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
FST	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
EGFR	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CPXM1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
C3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ADAMTS5	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
METRN	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
METRNL	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
MYO1C	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
NQO1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CRNDE	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
AQP5	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
AZGP1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PDE3B	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
LGALS12	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CPT1B	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ELOVL3	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
PPARGC1A	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
CITED1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
DPT	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
HOXC9	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ZNF423	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
ESM1	Connective tissue cell	Adipocytes	Adipocytes	Adipocytes
TH	Neural cell	Neuron	Adrenergic neurons	Adrenergic neurons
DDC	Neural cell	Neuron	Adrenergic neurons	Adrenergic neurons
DBH	Neural cell	Neuron	Adrenergic neurons	Adrenergic neurons
PNMT	Neural cell	Neuron	Adrenergic neurons	Adrenergic neurons
SLC18A2	Neural cell	Neuron	Adrenergic neurons	Adrenergic neurons
NPFF	Neural cell	Neuron	Adrenergic neurons	Adrenergic neurons
SLC12A7	Neural cell	Neuron	Adrenergic neurons	Adrenergic neurons
AQP1	Epithelial cell	Endo-epithelial cell	Airway epithelial cells	Airway epithelial cells
ADH7	Epithelial cell	Endo-epithelial cell	Airway epithelial cells	Airway epithelial cells
SEC14L3	Epithelial cell	Endo-epithelial cell	Airway epithelial cells	Airway epithelial cells
MUC5B	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
MUC16	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
LTF	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
SCGB3A1	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
DMBT1	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
LIPF	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
MSLN	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
AGR2	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
GP2	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
PIGR	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
TFF2	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
AQP5	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
QSOX1	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
FXYD3	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
SEC23B	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
CEACAM1	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
GALNT5	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
GALNT6	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
MUC5AC	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
MUC4	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
MUC20	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
SPDEF	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
DUSP4	Epithelial cell	Glandular epithelial cell	Goblet cell	Airway goblet cells
NOG	Muscle cell	Smooth muscle cell	Airway smooth muscle cells	Airway smooth muscle cells
ACTA2	Muscle cell	Smooth muscle cell	Airway smooth muscle cells	Airway smooth muscle cells
FOXF1	Muscle cell	Smooth muscle cell	Airway smooth muscle cells	Airway smooth muscle cells
GATA5	Muscle cell	Smooth muscle cell	Airway smooth muscle cells	Airway smooth muscle cells
GCG	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
GLP1R	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
ARX	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
POU3F4	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
NKX2-2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PYY	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PCSK2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
SLC38A5	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
TM4SF4	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
CRYBA2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
NKX6-1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
KCNK16	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PCSK1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PRRG2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
IRX2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
ALDH1A1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PEMT	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
SMIM24	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
F10	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
SCGN	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
SLC30A8	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
SH3GL2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
SCGB2A1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
FAP	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
DPP4	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
GPR119	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PAX6	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
NEUROD1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
LOXL4	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PLCE1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
GC	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
KLHL41	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
FEV	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PTGER3	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
RFX6	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
SMARCA1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PGR	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
LDB2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
IRX1	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
UCP2	Epithelial cell	Secretory cell	Pancreas exocrine glandular cell	Alpha cells
PLET1	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
IL1B	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
CCL3	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
G0S2	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
CXCL2	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
MCEMP1	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
KLHDC4	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
GDA	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
CLEC7A	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
ITGAX	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
TNFAIP2	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
CD36	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
GAL	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
TLR2	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
GPNMB	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
MRC1	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
MARCO	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
CSF2RB	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
MPP1	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
TRIM25	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
OLR1	Hematopoietic cell	Monocyte	Macrophage	Alveolar macrophages
AGA	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
ANGPT1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
CPEB4	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
IGSF1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
MEST	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
PITX2	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
POU1F1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
PRL	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
RAB27A	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
SEZ6L2	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
SIX6	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
TMEM130	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
POMC	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
GMPPA	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
GNB3	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
HEPACAM2	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
ASB4	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
RAX	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
NKX2-1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
FGF10	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
FSHB	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
PCSK1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
GNRHR	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
PITX1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
GH1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
TSHB	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
PAX7	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
LHB	Epithelial cell	Ecto-epithelial cell	Secretory cell	Anterior pituitary gland cells
GFAP	Neural cell	Glial cell	Astrocyte	Astrocytes
BYSL	Neural cell	Glial cell	Astrocyte	Astrocytes
ALDH1L1	Neural cell	Glial cell	Astrocyte	Astrocytes
CD40	Neural cell	Glial cell	Astrocyte	Astrocytes
FGFR3	Neural cell	Glial cell	Astrocyte	Astrocytes
GJB6	Neural cell	Glial cell	Astrocyte	Astrocytes
AQP4	Neural cell	Glial cell	Astrocyte	Astrocytes
CLDN10	Neural cell	Glial cell	Astrocyte	Astrocytes
ITIH3	Neural cell	Glial cell	Astrocyte	Astrocytes
NKAIN4	Neural cell	Glial cell	Astrocyte	Astrocytes
ACSL6	Neural cell	Glial cell	Astrocyte	Astrocytes
ACSBG1	Neural cell	Glial cell	Astrocyte	Astrocytes
TRIL	Neural cell	Glial cell	Astrocyte	Astrocytes
AGT	Neural cell	Glial cell	Astrocyte	Astrocytes
GPR37L1	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC4A4	Neural cell	Glial cell	Astrocyte	Astrocytes
NTSR2	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC6A11	Neural cell	Glial cell	Astrocyte	Astrocytes
HSPA2	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC16A2	Neural cell	Glial cell	Astrocyte	Astrocytes
DIO2	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC7A10	Neural cell	Glial cell	Astrocyte	Astrocytes
ENTPD2	Neural cell	Glial cell	Astrocyte	Astrocytes
HSPB6	Neural cell	Glial cell	Astrocyte	Astrocytes
PLXNB1	Neural cell	Glial cell	Astrocyte	Astrocytes
LCAT	Neural cell	Glial cell	Astrocyte	Astrocytes
PLA2G7	Neural cell	Glial cell	Astrocyte	Astrocytes
CMTM5	Neural cell	Glial cell	Astrocyte	Astrocytes
S1PR1	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC39A12	Neural cell	Glial cell	Astrocyte	Astrocytes
LUZP2	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC25A28	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC25A46	Neural cell	Glial cell	Astrocyte	Astrocytes
WNT3	Neural cell	Glial cell	Astrocyte	Astrocytes
FZD2	Neural cell	Glial cell	Astrocyte	Astrocytes
TEAD1	Neural cell	Glial cell	Astrocyte	Astrocytes
RLBP1	Neural cell	Glial cell	Astrocyte	Astrocytes
LCN2	Neural cell	Glial cell	Astrocyte	Astrocytes
CCR7	Neural cell	Glial cell	Astrocyte	Astrocytes
AANAT	Neural cell	Glial cell	Astrocyte	Astrocytes
SYNM	Neural cell	Glial cell	Astrocyte	Astrocytes
HMG20A	Neural cell	Glial cell	Astrocyte	Astrocytes
NFATC3	Neural cell	Glial cell	Astrocyte	Astrocytes
SRR	Neural cell	Glial cell	Astrocyte	Astrocytes
SLC1A6	Neural cell	Glial cell	Astrocyte	Astrocytes
SLIT1	Neural cell	Glial cell	Astrocyte	Astrocytes
SNPH	Neural cell	Glial cell	Astrocyte	Astrocytes
CD2	Hematopoietic cell	B	B cells	B cells
CD5	Hematopoietic cell	B	B cells	B cells
MS4A1	Hematopoietic cell	B	B cells	B cells
